Año,Especie,ANP,Localidad,Altitud,Tipo_Vegt
2001,Artibeus lituratus,ANP El Salado,Las Higueras,235,Vegetación secundaria
2001,Rhogeessa parvula,ANP El Salado,El Vivero,350,bosque tropical subcaducifolio
2001,Artibeus lituratus,ANP El Salado,El Vivero,350,bosque tropical subcaducifolio
2001,Artibeus lituratus,ANP El Salado,El Vivero,350,bosque tropical subcaducifolio
2001,Artibeus lituratus,ANP El Salado,El Vivero,350,bosque tropical subcaducifolio
2001,Artibeus lituratus,ANP El Salado,El Vivero,350,bosque tropical subcaducifolio
2001,Artibeus lituratus,ANP El Salado,El Vivero,350,bosque tropical subcaducifolio
2001,Rhogeessa parvula,ANP El Salado,El Vivero,350,bosque tropical subcaducifolio
2001,Artibeus lituratus,ANP El Salado,El Vivero,350,bosque tropical subcaducifolio
2001,Artibeus lituratus,ANP El Salado,El Vivero,350,bosque tropical subcaducifolio
2001,Dermanura phaeotis,ANP El Salado,El Vivero,350,bosque tropical subcaducifolio
2001,Artibeus lituratus,ANP El Salado,El Vivero,350,bosque tropical subcaducifolio
2001,Artibeus lituratus,ANP El Salado,El Vivero,350,bosque tropical subcaducifolio
2001,Dermanura phaeotis,ANP El Salado,El Vivero,350,bosque tropical subcaducifolio
2001,Dermanura phaeotis,ANP El Salado,El Vivero,350,bosque tropical subcaducifolio
2001,Artibeus lituratus,ANP El Salado,El Vivero,350,bosque tropical subcaducifolio
2001,Dermanura phaeotis,ANP El Salado,El Vivero,350,bosque tropical subcaducifolio
2001,Dermanura phaeotis,ANP El Salado,El Vivero,350,bosque tropical subcaducifolio
2001,Artibeus lituratus,ANP El Salado,El Vivero,350,bosque tropical subcaducifolio
2001,Glossophaga mutica,ANP El Salado,El Vivero,350,bosque tropical subcaducifolio
2001,Artibeus lituratus,ANP El Salado,El Vivero,350,bosque tropical subcaducifolio
2001,Artibeus lituratus,ANP El Salado,El Vivero,350,bosque tropical subcaducifolio
2001,Artibeus lituratus,ANP El Salado,El Vivero,350,bosque tropical subcaducifolio
2001,Artibeus jamaicensis,ANP El Salado,El Vivero,350,bosque tropical subcaducifolio
2001,Artibeus jamaicensis,ANP El Salado,El Vivero,350,bosque tropical subcaducifolio
2001,Artibeus lituratus,ANP El Salado,El Vivero,350,bosque tropical subcaducifolio
2001,Artibeus lituratus,ANP El Salado,El Vivero,350,bosque tropical subcaducifolio
2001,Artibeus jamaicensis,ANP El Salado,El Vivero,350,bosque tropical subcaducifolio
2001,Artibeus lituratus,ANP El Salado,El Vivero,350,bosque tropical subcaducifolio
2001,Leptonycteris yerbabuenae,ANP El Salado,El Vivero,350,bosque tropical subcaducifolio
2001,Artibeus lituratus,ANP El Salado,El Vivero,350,bosque tropical subcaducifolio
2001,Artibeus lituratus,ANP El Salado,El Vivero,350,bosque tropical subcaducifolio
2001,Dermanura phaeotis,ANP El Salado,El Vivero,350,bosque tropical subcaducifolio
2001,Artibeus lituratus,ANP El Salado,El Vivero,350,bosque tropical subcaducifolio
2001,Artibeus lituratus,ANP El Salado,El Vivero,350,bosque tropical subcaducifolio
2001,Artibeus lituratus,ANP El Salado,El Vivero,350,bosque tropical subcaducifolio
2001,Artibeus jamaicensis,ANP El Salado,El Vivero,350,bosque tropical subcaducifolio
2001,Artibeus lituratus,ANP El Salado,El Vivero,350,bosque tropical subcaducifolio
2001,Artibeus lituratus,ANP El Salado,El Vivero,350,bosque tropical subcaducifolio
2001,Glossophaga mutica,ANP El Salado,Las Higueras,235,Vegetación secundaria
2001,Artibeus lituratus,ANP El Salado,Las Higueras,235,Vegetación secundaria
2001,Glossophaga mutica,ANP El Salado,Las Higueras,235,Vegetación secundaria
2001,Artibeus lituratus,ANP El Salado,Las Higueras,235,Vegetación secundaria
2001,Glossophaga mutica,ANP El Salado,Las Higueras,235,Vegetación secundaria
2001,Glossophaga mutica,ANP El Salado,Las Higueras,235,Vegetación secundaria
2001,Glossophaga mutica,ANP El Salado,Las Higueras,235,Vegetación secundaria
2001,Glossophaga mutica,ANP El Salado,Las Higueras,235,Vegetación secundaria
2001,Artibeus lituratus,ANP El Salado,Las Higueras,235,Vegetación secundaria
2001,Dermanura phaeotis,ANP El Salado,Las Higueras,235,Vegetación secundaria
2001,Glossophaga mutica,ANP El Salado,Las Higueras,235,Vegetación secundaria
2001,Glossophaga mutica,ANP El Salado,Las Higueras,235,Vegetación secundaria
2001,Glossophaga mutica,ANP El Salado,Las Higueras,235,Vegetación secundaria
2001,Artibeus lituratus,ANP El Salado,Las Higueras,235,Vegetación secundaria
2001,Glossophaga mutica,ANP El Salado,Las Higueras,235,Vegetación secundaria
2001,Glossophaga mutica,ANP El Salado,Las Higueras,235,Vegetación secundaria
2001,Glossophaga mutica,ANP El Salado,Las Higueras,235,Vegetación secundaria
2001,Artibeus lituratus,ANP El Salado,Las Higueras,235,Vegetación secundaria
2001,Artibeus jamaicensis,ANP El Salado,Las Higueras,235,Vegetación secundaria
2001,Artibeus lituratus,ANP El Salado,Las Higueras,235,Vegetación secundaria
2001,Artibeus lituratus,ANP El Salado,Las Higueras,235,Vegetación secundaria
2001,Glossophaga mutica,ANP El Salado,Las Higueras,235,Vegetación secundaria
2001,Glossophaga mutica,ANP El Salado,Las Higueras,235,Vegetación secundaria
2001,Glossophaga mutica,ANP El Salado,Las Higueras,235,Vegetación secundaria
2001,Sturnira parvidens,ANP El Salado,Las Higueras,235,Vegetación secundaria
2001,Artibeus jamaicensis,ANP El Salado,Las Higueras,235,Vegetación secundaria
2001,Artibeus lituratus,ANP El Salado,Las Higueras,235,Vegetación secundaria
2001,Glossophaga mutica,ANP El Salado,Las Higueras,235,Vegetación secundaria
2001,Glossophaga mutica,ANP El Salado,Las Higueras,235,Vegetación secundaria
2001,Artibeus lituratus,ANP El Salado,Las Higueras,235,Vegetación secundaria
2001,Artibeus lituratus,ANP El Salado,Las Higueras,235,Vegetación secundaria
2001,Artibeus lituratus,ANP El Salado,Las Higueras,235,Vegetación secundaria
2001,Dermanura phaeotis,ANP El Salado,Las Higueras,235,Vegetación secundaria
2001,Glossophaga mutica,ANP El Salado,Las Higueras,235,Vegetación secundaria
2001,Artibeus jamaicensis,ANP El Salado,Las Higueras,235,Vegetación secundaria
2001,Artibeus lituratus,ANP El Salado,Las Higueras,235,Vegetación secundaria
2001,Artibeus lituratus,ANP El Salado,Las Higueras,235,Vegetación secundaria
2001,Sturnira parvidens,ANP El Salado,Las Higueras,235,Vegetación secundaria
2001,Glossophaga mutica,ANP El Salado,Las Higueras,235,Vegetación secundaria
2001,Glossophaga mutica,ANP El Salado,Las Higueras,235,Vegetación secundaria
2001,Artibeus lituratus,ANP El Salado,Las Higueras,235,Vegetación secundaria
2001,Glossophaga mutica,ANP El Salado,Las Higueras,235,Vegetación secundaria
2001,Dermanura phaeotis,ANP El Salado,Las Higueras,235,Vegetación secundaria
2001,Glossophaga mutica,ANP El Salado,Las Higueras,235,Vegetación secundaria
2001,Glossophaga mutica,ANP El Salado,Las Higueras,235,Vegetación secundaria
2001,Glossophaga mutica,ANP El Salado,Las Higueras,235,Vegetación secundaria
2001,Artibeus lituratus,ANP El Salado,Las Higueras,235,Vegetación secundaria
2001,Artibeus lituratus,ANP El Salado,Las Higueras,235,Vegetación secundaria
2001,Artibeus lituratus,ANP El Salado,Las Higueras,235,Vegetación secundaria
2001,Artibeus jamaicensis,ANP El Salado,Las Higueras,235,Vegetación secundaria
2001,Artibeus jamaicensis,ANP El Salado,Las Higueras,235,Vegetación secundaria
2001,Artibeus lituratus,ANP El Salado,Las Higueras,235,Vegetación secundaria
2001,Dermanura phaeotis,ANP El Salado,Las Higueras,235,Vegetación secundaria
2001,Artibeus lituratus,ANP El Salado,Las Higueras,235,Vegetación secundaria
2001,Artibeus lituratus,ANP El Salado,Las Higueras,235,Vegetación secundaria
2001,Glossophaga mutica,ANP El Salado,Las Higueras,235,Vegetación secundaria
2001,Glossophaga mutica,ANP El Salado,Las Higueras,235,Vegetación secundaria
2001,Artibeus lituratus,ANP El Salado,Las Higueras,235,Vegetación secundaria
2001,Glossophaga mutica,ANP El Salado,Las Higueras,235,Vegetación secundaria
2001,Artibeus lituratus,ANP El Salado,Las Higueras,235,Vegetación secundaria
2001,Glossophaga mutica,ANP El Salado,Las Higueras,235,Vegetación secundaria
2001,Glossophaga mutica,ANP El Salado,Las Higueras,235,Vegetación secundaria
2001,Artibeus lituratus,ANP El Salado,Las Higueras,235,Vegetación secundaria
2001,Glossophaga mutica,ANP El Salado,Las Higueras,235,Vegetación secundaria
2001,Glossophaga mutica,ANP El Salado,Las Higueras,235,Vegetación secundaria
2001,Artibeus lituratus,ANP El Salado,Las Higueras,235,Vegetación secundaria
2001,Artibeus lituratus,ANP El Salado,Las Higueras,235,Vegetación secundaria
2001,Artibeus lituratus,ANP El Salado,Las Higueras,235,Vegetación secundaria
2001,Artibeus lituratus,ANP El Salado,Las Higueras,235,Vegetación secundaria
2001,Artibeus lituratus,ANP El Salado,Las Higueras,235,Vegetación secundaria
2001,Artibeus lituratus,ANP El Salado,Las Higueras,235,Vegetación secundaria
2001,Artibeus lituratus,ANP El Salado,Las Higueras,235,Vegetación secundaria
2001,Glossophaga mutica,ANP El Salado,Las Higueras,235,Vegetación secundaria
2001,Artibeus lituratus,ANP El Salado,Las Higueras,235,Vegetación secundaria
2001,Artibeus lituratus,ANP El Salado,Las Higueras,235,Vegetación secundaria
2001,Glossophaga mutica,ANP El Salado,Las Higueras,235,Vegetación secundaria
2001,Glossophaga mutica,ANP El Salado,Las Higueras,235,Vegetación secundaria
2001,Glossophaga mutica,ANP El Salado,Las Higueras,235,Vegetación secundaria
2001,Artibeus lituratus,ANP El Salado,Las Higueras,235,Vegetación secundaria
2001,Artibeus lituratus,ANP El Salado,El Vivero,350,bosque tropical subcaducifolio
2001,Artibeus lituratus,ANP El Salado,El Vivero,350,bosque tropical subcaducifolio
2001,Glossophaga mutica,ANP El Salado,El Vivero,350,bosque tropical subcaducifolio
2001,Artibeus lituratus,ANP El Salado,El Vivero,350,bosque tropical subcaducifolio
2001,Dermanura phaeotis,ANP El Salado,El Vivero,350,bosque tropical subcaducifolio
2001,Artibeus lituratus,ANP El Salado,El Vivero,350,bosque tropical subcaducifolio
2001,Artibeus lituratus,ANP El Salado,El Vivero,350,bosque tropical subcaducifolio
2001,Glossophaga mutica,ANP El Salado,El Vivero,350,bosque tropical subcaducifolio
2001,Artibeus lituratus,ANP El Salado,El Vivero,350,bosque tropical subcaducifolio
2001,Rhogeessa parvula,ANP El Salado,El Vivero,350,bosque tropical subcaducifolio
2001,Glossophaga mutica,ANP El Salado,El Vivero,350,bosque tropical subcaducifolio
2001,Artibeus lituratus,ANP El Salado,El Vivero,350,bosque tropical subcaducifolio
2001,Glossophaga mutica,ANP El Salado,El Vivero,350,bosque tropical subcaducifolio
2001,Artibeus lituratus,ANP El Salado,El Vivero,350,bosque tropical subcaducifolio
2001,Artibeus lituratus,ANP El Salado,El Vivero,350,bosque tropical subcaducifolio
2001,Artibeus lituratus,ANP El Salado,El Vivero,350,bosque tropical subcaducifolio
2001,Artibeus lituratus,ANP El Salado,El Vivero,350,bosque tropical subcaducifolio
2001,Artibeus jamaicensis,ANP El Salado,El Vivero,350,bosque tropical subcaducifolio
2001,Glossophaga mutica,ANP El Salado,El Vivero,350,bosque tropical subcaducifolio
2001,Glossophaga mutica,ANP El Salado,El Vivero,350,bosque tropical subcaducifolio
2001,Glossophaga mutica,ANP El Salado,El Vivero,350,bosque tropical subcaducifolio
2001,Glossophaga mutica,ANP El Salado,El Vivero,350,bosque tropical subcaducifolio
2001,Artibeus lituratus,ANP El Salado,El Vivero,350,bosque tropical subcaducifolio
2001,Glossophaga mutica,ANP El Salado,El Vivero,350,bosque tropical subcaducifolio
2001,Glossophaga mutica,ANP El Salado,El Vivero,350,bosque tropical subcaducifolio
2001,Artibeus lituratus,ANP El Salado,El Vivero,350,bosque tropical subcaducifolio
2001,Artibeus jamaicensis,ANP El Salado,El Vivero,350,bosque tropical subcaducifolio
2001,Artibeus lituratus,ANP El Salado,El Vivero,350,bosque tropical subcaducifolio
2001,Artibeus lituratus,ANP El Salado,El Vivero,350,bosque tropical subcaducifolio
2001,Artibeus lituratus,ANP El Salado,El Vivero,350,bosque tropical subcaducifolio
2001,Glossophaga mutica,ANP El Salado,El Vivero,350,bosque tropical subcaducifolio
2001,Artibeus lituratus,ANP El Salado,El Vivero,350,bosque tropical subcaducifolio
2001,Artibeus lituratus,ANP El Salado,El Vivero,350,bosque tropical subcaducifolio
2001,Glossophaga mutica,ANP El Salado,El Vivero,350,bosque tropical subcaducifolio
2001,Glossophaga mutica,ANP El Salado,El Vivero,350,bosque tropical subcaducifolio
2001,Artibeus lituratus,ANP El Salado,El Vivero,350,bosque tropical subcaducifolio
2001,Artibeus lituratus,ANP El Salado,El Vivero,350,bosque tropical subcaducifolio
2001,Glossophaga mutica,ANP El Salado,El Vivero,350,bosque tropical subcaducifolio
2001,Artibeus lituratus,ANP El Salado,El Vivero,350,bosque tropical subcaducifolio
2001,Glossophaga mutica,ANP El Salado,El Vivero,350,bosque tropical subcaducifolio
2001,Artibeus lituratus,ANP El Salado,El Vivero,350,bosque tropical subcaducifolio
2001,Artibeus lituratus,ANP El Salado,El Vivero,350,bosque tropical subcaducifolio
2001,Artibeus lituratus,ANP El Salado,El Vivero,350,bosque tropical subcaducifolio
2001,Artibeus lituratus,ANP El Salado,El Vivero,350,bosque tropical subcaducifolio
2001,Rhogeessa parvula,ANP El Salado,El Vivero,350,bosque tropical subcaducifolio
2001,Artibeus lituratus,ANP El Salado,El Vivero,350,bosque tropical subcaducifolio
2001,Dermanura phaeotis,ANP El Salado,Las Higueras,235,Vegetación secundaria
2001,Artibeus lituratus,ANP El Salado,Las Higueras,235,Vegetación secundaria
2001,Artibeus lituratus,ANP El Salado,Las Higueras,235,Vegetación secundaria
2001,Glossophaga mutica,ANP El Salado,Las Higueras,235,Vegetación secundaria
2001,Glossophaga mutica,ANP El Salado,Las Higueras,235,Vegetación secundaria
2001,Artibeus lituratus,ANP El Salado,Las Higueras,235,Vegetación secundaria
2001,Dermanura phaeotis,ANP El Salado,Las Higueras,235,Vegetación secundaria
2001,Artibeus jamaicensis,ANP El Salado,Las Higueras,235,Vegetación secundaria
2001,Glossophaga mutica,ANP El Salado,Las Higueras,235,Vegetación secundaria
2001,Artibeus jamaicensis,ANP El Salado,Las Higueras,235,Vegetación secundaria
2001,Dermanura phaeotis,ANP El Salado,Las Higueras,235,Vegetación secundaria
2001,Artibeus jamaicensis,ANP El Salado,Las Higueras,235,Vegetación secundaria
2001,Artibeus lituratus,ANP El Salado,Las Higueras,235,Vegetación secundaria
2001,Artibeus lituratus,ANP El Salado,Las Higueras,235,Vegetación secundaria
2001,Artibeus lituratus,ANP El Salado,Las Higueras,235,Vegetación secundaria
2001,Artibeus lituratus,ANP El Salado,Las Higueras,235,Vegetación secundaria
2001,Glossophaga mutica,ANP El Salado,Las Higueras,235,Vegetación secundaria
2001,Artibeus lituratus,ANP El Salado,Las Higueras,235,Vegetación secundaria
2001,Artibeus lituratus,ANP El Salado,Las Higueras,235,Vegetación secundaria
2001,Artibeus lituratus,ANP El Salado,Las Higueras,235,Vegetación secundaria
2001,Artibeus lituratus,ANP El Salado,Las Higueras,235,Vegetación secundaria
2001,Glossophaga mutica,ANP El Salado,Las Higueras,235,Vegetación secundaria
2001,Artibeus lituratus,ANP El Salado,Las Higueras,235,Vegetación secundaria
2001,Artibeus jamaicensis,ANP El Salado,Las Higueras,235,Vegetación secundaria
2001,Artibeus lituratus,ANP El Salado,Las Higueras,235,Vegetación secundaria
2001,Artibeus lituratus,ANP El Salado,Las Higueras,235,Vegetación secundaria
2001,Dermanura phaeotis,ANP El Salado,Las Higueras,235,Vegetación secundaria
2001,Artibeus lituratus,ANP El Salado,Las Higueras,235,Vegetación secundaria
2001,Artibeus lituratus,ANP El Salado,Las Higueras,235,Vegetación secundaria
2001,Artibeus lituratus,ANP El Salado,Las Higueras,235,Vegetación secundaria
2001,Artibeus lituratus,ANP El Salado,Las Higueras,235,Vegetación secundaria
2001,Artibeus lituratus,ANP El Salado,Las Higueras,235,Vegetación secundaria
2001,Artibeus lituratus,ANP El Salado,Las Higueras,235,Vegetación secundaria
2001,Artibeus lituratus,ANP El Salado,Las Higueras,235,Vegetación secundaria
2001,Artibeus jamaicensis,ANP El Salado,Las Higueras,235,Vegetación secundaria
2001,Artibeus jamaicensis,ANP El Salado,Las Higueras,235,Vegetación secundaria
2001,Artibeus lituratus,ANP El Salado,Las Higueras,235,Vegetación secundaria
2001,Artibeus lituratus,ANP El Salado,Las Higueras,235,Vegetación secundaria
2001,Artibeus lituratus,ANP El Salado,Las Higueras,235,Vegetación secundaria
2001,Artibeus lituratus,ANP El Salado,Las Higueras,235,Vegetación secundaria
2001,Artibeus lituratus,ANP El Salado,Las Higueras,235,Vegetación secundaria
2001,Artibeus lituratus,ANP El Salado,Las Higueras,235,Vegetación secundaria
2001,Glossophaga mutica,ANP El Salado,El Vivero,350,bosque tropical subcaducifolio
2001,Artibeus lituratus,ANP El Salado,El Vivero,350,bosque tropical subcaducifolio
2001,Glossophaga mutica,ANP El Salado,El Vivero,350,bosque tropical subcaducifolio
2001,Leptonycteris yerbabuenae,ANP El Salado,El Vivero,350,bosque tropical subcaducifolio
2001,Artibeus lituratus,ANP El Salado,El Vivero,350,bosque tropical subcaducifolio
2001,Artibeus lituratus,ANP El Salado,El Vivero,350,bosque tropical subcaducifolio
2001,Glossophaga mutica,ANP El Salado,El Vivero,350,bosque tropical subcaducifolio
2001,Glossophaga mutica,ANP El Salado,El Vivero,350,bosque tropical subcaducifolio
2001,Artibeus lituratus,ANP El Salado,El Vivero,350,bosque tropical subcaducifolio
2001,Artibeus lituratus,ANP El Salado,El Vivero,350,bosque tropical subcaducifolio
2001,Artibeus lituratus,ANP El Salado,El Vivero,350,bosque tropical subcaducifolio
